Year,Total(Million Baht),2-year-SMA,3-year-SMA,4-year-SMA,5-year-SMA,2-year-SMA-center
2010,3433.054263,,,,,
2011,6406.389859,4919.722061,,,,4919.722061
2012,5168.326158,5787.358009,5002.590093,,,5787.358009
2013,7714.460533,6441.393345,6429.725517,5680.57703,,6441.393345
2014,7733.183485,7723.822009,6871.990059,6755.590009,6091.08286,7723.822009
2015,12030.98125,9882.082367,9159.541756,8161.737856,7810.668257,9882.082367
2016,17591.65643,14811.31884,12451.94039,11267.57043,10047.72157,14811.31884
2017,17973.10619,17782.38131,15865.24796,13832.23184,12608.67758,17782.38131
2018,24483.79527,21228.45073,20016.18596,18019.88479,15962.54453,21228.45073
2019,21895.04673,23189.421,21450.6494,20485.90116,18794.91717,23189.421
